make,model,year,mileage_km,engine_cc,auction_grade,winning_bid_jpy,auction_date
Toyota,Land Cruiser,2022,31978,3500,4.4,3546876,2024-05-09
Honda,NSX,2022,32718,3500,3.5,875571,2024-12-22
Mazda,RX-7,2020,56147,2500,4.1,1252201,2025-09-26
Subaru,Forester,2024,1000,2500,4.6,1287441,2024-05-14
Nissan,GT-R R35,2016,114519,3800,4.0,1749026,2024-03-02
Nissan,Patrol,2023,11421,5700,4.7,921511,2025-07-03
Mitsubishi,Outlander,2024,1717,2500,4.9,1552190,2023-10-27
Toyota,Land Cruiser,2017,84218,4500,3.3,1391024,2024-07-05
Subaru,WRX STI,2021,41444,2000,3.6,806701,2024-01-07
Mazda,CX-5,2023,10058,2500,4.2,633267,2024-12-25
Honda,NSX,2020,42357,3500,4.4,1328459,2025-09-20
Mitsubishi,Pajero,2021,33548,2500,4.4,1834898,2024-01-13
Subaru,Outback,2017,77696,3000,3.2,735415,2023-11-11
Mitsubishi,Pajero,2021,34702,2000,3.6,562047,2025-07-03
Toyota,Land Cruiser 200,2017,64211,3500,2.8,826060,2025-08-08
Mitsubishi,Outlander,2024,1000,2000,4.3,764175,2025-06-21
Lexus,LX 600,2017,60560,3500,2.7,1461280,2024-01-06
Mazda,CX-5,2018,71047,2000,2.6,618139,2024-03-13
Mazda,RX-7,2022,32438,2000,3.6,1261327,2024-03-10
Subaru,Outback,2023,6385,2500,4.6,1564214,2025-07-10
Honda,Accord,2022,24950,2000,4.1,898633,2025-01-24
Toyota,Land Cruiser 300,2022,23484,4500,4.2,4550419,2025-05-26
Mitsubishi,Outlander,2021,28426,2000,4.0,878104,2024-01-12
Subaru,Forester,2018,56935,2000,3.4,741891,2025-09-11
Lexus,LX 570,2023,8979,3500,4.9,7536044,2025-03-20
Mitsubishi,Pajero,2020,38576,1500,4.1,1079937,2024-07-24
Toyota,Prado,2020,46333,3000,3.6,517663,2024-07-05
Mazda,CX-9,2018,53686,1500,2.8,742439,2025-03-13
Toyota,Land Cruiser,2016,91806,3500,2.7,652496,2024-09-24
Porsche,911 Carrera,2024,1000,3800,4.3,6879863,2025-07-27
Honda,CR-V,2024,1000,2000,5.2,1258066,2025-01-27
Porsche,Cayenne,2019,55190,2000,3.6,3036648,2024-09-03
Honda,CR-V,2019,45214,2000,4.0,500000,2024-08-02
Lexus,LX 600,2019,47117,3500,3.8,3754300,2023-11-18
Lexus,GX 460,2018,80885,2500,3.2,1892277,2024-09-27
Porsche,911 Carrera,2019,73721,3800,2.7,2416377,2024-10-26
Toyota,Land Cruiser 200,2024,2411,3500,4.9,5318169,2024-11-08
Toyota,Land Cruiser 200,2017,62516,4500,2.7,1152176,2024-01-15
Nissan,X-Trail,2022,24795,2000,4.6,1931959,2024-04-27
Mitsubishi,Pajero,2020,42968,2000,4.2,1018529,2024-08-03
Honda,NSX,2018,64558,3800,3.9,1121166,2024-08-05
Porsche,911 Carrera,2017,85106,3800,2.7,1816530,2023-11-21
Porsche,Macan,2022,31400,2000,3.7,3477130,2024-11-01
Nissan,X-Trail,2018,50107,2500,3.6,944903,2025-02-24
Mitsubishi,Lancer Evolution,2019,47336,2500,3.6,671833,2024-08-30
Honda,Accord,2023,11827,1500,5.1,2037556,2024-01-18
Subaru,WRX STI,2022,17982,2000,4.3,2650780,2025-05-19
Mitsubishi,Outlander,2021,38174,2000,3.7,1107954,2023-10-14
Porsche,Cayenne,2021,28101,2500,5.4,5810661,2025-02-02
Nissan,X-Trail,2022,22426,3000,4.9,1698229,2025-07-06
Porsche,Macan,2020,62417,2500,3.2,1845820,2024-02-19
Nissan,GT-R R35,2024,4208,3800,5.3,7492218,2024-08-28
Mazda,RX-7,2022,15118,2000,5.2,1290570,2024-07-04
Porsche,Cayenne,2019,63007,2000,3.0,1982495,2025-04-27
Porsche,Macan,2022,18668,2000,4.2,3469208,2023-11-08
Porsche,Cayenne,2021,41835,2000,4.1,4552176,2024-05-17
Mazda,CX-5,2015,87826,2500,2.7,500000,2023-10-24
Mitsubishi,Lancer Evolution,2016,93076,2500,2.6,500000,2024-05-05
Subaru,Forester,2018,53522,2500,2.6,500000,2025-04-17
Honda,Accord,2021,39818,1500,4.0,1011700,2025-09-02
Mitsubishi,Pajero,2020,33166,2000,4.4,1638481,2024-08-08
Toyota,Land Cruiser,2020,49119,3500,3.5,1343305,2024-01-22
Nissan,X-Trail,2022,13599,2500,4.3,1612174,2024-01-04
Mazda,RX-7,2015,119180,2000,3.5,500000,2024-01-14
Honda,CR-V,2016,108003,2000,3.7,500000,2025-06-08
Mazda,CX-9,2022,24067,2000,4.0,640044,2024-06-22
Honda,CR-V,2018,56450,1500,3.1,815622,2025-10-03
Honda,Accord,2023,8612,2000,4.9,1236803,2023-11-28
Lexus,LX 570,2022,23089,3500,4.4,6915287,2024-05-13
Lexus,GX 460,2023,13953,1500,5.3,8401318,2025-10-03
Honda,NSX,2020,39939,3000,4.1,1124251,2024-07-05
Subaru,Forester,2017,104492,2500,2.8,500000,2024-01-01
Subaru,Outback,2015,80183,3000,2.9,500000,2024-05-14
Toyota,Prado,2022,13999,2500,4.2,1920406,2024-05-04
Lexus,GX 460,2023,13853,2000,4.3,7349731,2024-11-03
Mitsubishi,Outlander,2020,41999,2000,3.7,1142760,2023-11-09
Nissan,X-Trail,2016,76632,2500,2.9,500000,2024-04-25
Mitsubishi,Lancer Evolution,2022,23690,2000,5.0,2317861,2024-02-19
Porsche,Macan,2022,14059,2000,4.9,3472005,2025-04-19
Mitsubishi,Lancer Evolution,2021,33728,2000,3.6,501490,2024-05-25
Mitsubishi,Lancer Evolution,2022,24985,2000,4.4,1851332,2023-12-03
Porsche,Macan,2023,10807,2500,4.5,3705915,2024-05-29
Subaru,WRX STI,2024,1000,2000,4.3,2451404,2025-08-25
Toyota,Land Cruiser 200,2023,15233,4500,5.0,4919376,2024-09-02
Subaru,WRX STI,2018,62167,2000,3.9,587917,2024-04-15
Lexus,GX 460,2022,19207,3000,5.4,3703703,2024-03-26
Lexus,NX,2022,33652,2000,4.4,4804614,2024-11-26
Mitsubishi,Pajero,2023,13522,2500,4.1,1560823,2024-11-14
Subaru,Forester,2018,53194,1500,3.0,687469,2024-09-10
Toyota,Land Cruiser 200,2016,97118,3500,3.0,865577,2025-08-19
Mitsubishi,Pajero,2024,1000,2500,5.3,896253,2025-07-22
Mitsubishi,Lancer Evolution,2023,17561,2000,5.5,1548530,2025-07-02
Nissan,Patrol,2023,12634,3500,5.3,2836656,2025-06-09
Mitsubishi,Lancer Evolution,2023,13325,2000,4.4,827569,2024-03-13
Honda,NSX,2020,37632,3000,3.5,693765,2025-08-28
Mazda,CX-9,2024,1796,2000,4.3,2478631,2023-12-22
Toyota,Prado,2023,14714,1500,5.4,1776488,2024-09-22
Subaru,Forester,2022,27193,1500,5.4,1939860,2024-02-08
Nissan,GT-R R35,2022,15994,3500,4.3,3608986,2024-04-27
Lexus,LX 570,2023,13095,3500,5.3,9146014,2024-05-16
Mitsubishi,Outlander,2024,2582,1500,5.0,1134161,2024-12-09
Mazda,CX-9,2023,9936,2000,4.9,1843993,2025-07-28
Lexus,LX 600,2016,75168,4500,3.8,2362916,2024-09-25
Mazda,RX-7,2023,13095,2500,4.1,1864583,2024-11-12
Mitsubishi,Pajero,2020,52214,2000,3.6,579592,2024-06-14
Subaru,Forester,2022,27868,1500,4.7,1591340,2024-11-16
Nissan,GT-R R35,2023,13403,3500,4.4,7355519,2023-12-31
Mitsubishi,Pajero,2023,17627,2500,5.1,2413178,2024-09-20
Mazda,CX-9,2022,27187,2500,4.2,1853090,2024-09-12
Mazda,CX-5,2023,10069,1500,4.5,1986314,2025-04-09
Subaru,Outback,2017,96849,2500,2.5,500000,2024-04-12
Porsche,911 Carrera,2022,22443,3800,5.0,5876794,2023-12-12
Subaru,Outback,2023,13739,1500,5.4,1510403,2025-07-14
Toyota,Prado,2022,21807,3000,5.0,771280,2024-08-19
Mazda,CX-5,2019,43178,2500,3.8,923731,2025-04-28
Honda,Accord,2015,138018,2500,3.6,500000,2025-08-13
Subaru,WRX STI,2023,6390,2000,4.7,2934422,2024-02-22
Toyota,Land Cruiser 200,2022,24802,3500,4.6,3035613,2024-07-25
Subaru,WRX STI,2017,87198,2500,2.6,636643,2024-03-26
Honda,Accord,2022,25822,2000,4.6,2136452,2024-07-19
Honda,NSX,2020,40874,3500,4.5,1449599,2025-04-18
Lexus,NX,2024,1000,2000,5.0,6201841,2023-10-19
Subaru,Outback,2023,11632,2000,5.3,2403618,2024-10-21
Mitsubishi,Pajero,2023,14589,2500,4.2,658800,2024-12-13
Nissan,X-Trail,2024,1000,2500,4.2,901988,2025-09-07
Nissan,Patrol,2022,18723,3500,4.1,1392692,2023-11-13
Honda,CR-V,2019,50414,2500,3.5,500000,2025-08-16
Mazda,RX-7,2020,46717,2000,4.2,1938943,2025-06-13
Toyota,Prado,2023,7412,1500,4.4,2378305,2024-12-25
Lexus,NX,2017,88314,2000,3.3,1022491,2025-06-22
Lexus,LX 600,2019,41581,3500,3.5,1760883,2025-08-29
Porsche,Macan,2020,49785,1500,4.3,2814356,2023-10-22
Nissan,GT-R R35,2017,89249,3000,2.5,1832550,2024-07-10
Lexus,LX 570,2016,107417,3500,3.6,1915693,2024-07-14
Mitsubishi,Lancer Evolution,2019,46752,2500,4.0,1159612,2025-09-03
Mitsubishi,Pajero,2020,49055,2500,3.6,500000,2024-12-22
Mazda,CX-5,2018,81807,1500,4.0,562454,2025-05-08
Honda,NSX,2018,75647,3800,3.3,1003440,2024-05-07
Mazda,RX-7,2018,90444,2500,2.8,805564,2024-06-05
Porsche,911 Carrera,2016,78056,3000,3.8,2020218,2023-11-12
Nissan,GT-R R35,2023,9131,3500,5.5,4232763,2024-10-29
Mitsubishi,Lancer Evolution,2023,13322,2000,4.7,2306548,2025-06-05
Mitsubishi,Outlander,2024,1000,2000,5.4,1362486,2023-10-29
Mazda,RX-7,2022,22579,2500,5.1,3122872,2024-04-22
Nissan,X-Trail,2017,100408,2000,3.8,534841,2023-11-03
Honda,Accord,2018,66850,2500,3.0,590760,2025-09-09
Lexus,LX 600,2017,101082,3500,3.5,1555033,2024-12-29
Toyota,Land Cruiser 300,2023,14326,3500,4.4,3518155,2025-08-02
Honda,NSX,2017,75801,3500,3.1,513010,2025-06-21
Mitsubishi,Pajero,2022,15014,2500,4.1,1629412,2025-02-06
Subaru,WRX STI,2022,30875,2000,4.1,2411268,2025-02-28
Subaru,WRX STI,2018,54900,2000,3.3,1209836,2024-04-02
Porsche,Macan,2015,104827,1500,3.0,997231,2024-08-02
Honda,NSX,2015,138808,3000,2.5,500000,2025-07-30
Toyota,Prado,2022,22522,2500,4.7,1729628,2025-01-24
Nissan,X-Trail,2017,73135,1500,2.8,500502,2025-01-12
Mazda,CX-9,2024,1000,1500,5.3,1259221,2025-01-18
Subaru,WRX STI,2022,31057,2500,4.0,1950670,2025-06-11
Subaru,Forester,2023,12522,2000,5.0,2065719,2025-06-26
Toyota,Land Cruiser 300,2018,66054,4500,2.7,2010434,2025-02-17
Toyota,Land Cruiser 300,2024,1000,3500,5.3,9202147,2025-08-13
Porsche,Macan,2021,41490,2500,3.8,4336236,2024-12-09
Toyota,Land Cruiser,2023,12940,4500,5.2,2740313,2024-05-31
Mitsubishi,Lancer Evolution,2021,29480,2000,4.6,1557114,2024-04-03
Lexus,LX 570,2020,37383,3500,3.7,2108534,2025-09-14
Porsche,911 Carrera,2022,24307,3500,4.6,6835643,2024-12-27
Toyota,Land Cruiser 300,2021,22950,3500,4.6,4316063,2024-02-05
Lexus,LX 600,2021,39414,3500,4.3,5109529,2024-12-12
Nissan,Patrol,2024,1000,3500,5.0,2771503,2025-04-08
Honda,Accord,2018,54875,3000,3.0,500000,2024-05-19
Honda,CR-V,2021,28055,2000,5.2,1503793,2025-08-16
Honda,CR-V,2019,62791,2500,3.1,500000,2025-01-03
Porsche,Cayenne,2018,55872,2500,3.6,1592056,2025-04-26
Porsche,Macan,2021,44056,2000,4.3,4456804,2025-07-18
Subaru,Outback,2015,132954,2500,3.7,500000,2023-10-31
Mazda,RX-7,2018,72771,2000,3.8,1320250,2025-04-05
Porsche,911 Carrera,2020,51602,3000,4.3,3529867,2024-08-07
Porsche,Macan,2022,24251,1500,4.9,3972687,2025-08-08
Subaru,Outback,2022,14991,2500,4.0,1453260,2025-08-01
Honda,CR-V,2022,18156,2000,4.9,1515787,2024-11-29
Lexus,LX 570,2024,1000,3500,4.6,7629677,2024-12-30
Honda,NSX,2022,13838,3800,5.1,2471711,2025-09-06
Nissan,X-Trail,2019,46939,1500,3.7,623820,2024-12-30
Toyota,Prado,2018,51106,2000,2.6,639354,2024-09-28
Mazda,RX-7,2018,86472,2000,3.3,690209,2025-03-19
Lexus,LX 600,2019,76413,4500,3.3,2939485,2024-10-14
Nissan,X-Trail,2021,40384,1500,3.7,1224679,2025-02-13
Mitsubishi,Pajero,2018,51564,2000,3.6,540497,2025-07-08
Lexus,LX 570,2022,26326,4500,4.6,3647946,2024-06-14
Lexus,NX,2024,3420,3000,4.8,7393728,2024-04-06
Subaru,Forester,2016,74412,2500,3.7,558349,2025-10-03
Lexus,LX 570,2015,87177,3500,2.6,1217733,2024-03-10
Honda,Accord,2021,31808,2000,4.1,1148056,2024-04-14
Lexus,NX,2024,3514,2000,4.3,8198428,2025-02-01
Lexus,GX 460,2017,78430,2500,3.8,2607013,2025-03-11
Porsche,Macan,2023,7596,2000,4.3,6390222,2025-03-07
Mazda,CX-5,2019,65658,3000,2.7,787601,2024-11-20
Mazda,CX-5,2024,2648,2000,4.3,1632345,2025-09-05
Honda,CR-V,2020,37972,1500,3.5,500000,2024-03-21
Lexus,LX 570,2024,1000,3500,4.5,6323666,2024-05-26
Mitsubishi,Pajero,2020,47103,1500,4.1,1155822,2025-04-11
Nissan,Patrol,2017,93855,3500,2.6,587546,2024-02-20
Porsche,Cayenne,2016,116477,2500,2.7,758587,2024-03-11
Porsche,911 Carrera,2019,59848,3000,4.0,4360435,2024-07-27
Toyota,Land Cruiser,2023,11382,4500,4.8,3464924,2025-05-09
Mazda,RX-7,2017,74985,2500,3.1,613842,2024-08-08
Subaru,Outback,2023,8495,2500,4.6,1553371,2025-02-28
Lexus,GX 460,2015,116269,2000,3.3,807281,2025-01-20
Porsche,Cayenne,2015,136495,2000,3.9,1203132,2025-01-30
Toyota,Land Cruiser 200,2016,92888,3500,2.6,678116,2025-09-30
Subaru,Forester,2017,91890,2000,3.1,500000,2023-12-26
Honda,CR-V,2020,61531,2500,3.7,682346,2025-01-12
Mitsubishi,Outlander,2022,22974,2000,4.1,1851453,2025-04-12
Porsche,Macan,2021,41797,2500,4.1,4488208,2025-09-21
Mitsubishi,Pajero,2016,74783,2000,3.3,500000,2024-01-23
Nissan,GT-R R35,2015,112849,3000,2.6,500000,2024-09-03
Toyota,Land Cruiser,2024,1000,4500,4.5,4683123,2024-04-14
Mazda,RX-7,2022,14421,2000,5.0,2803204,2025-06-18
Porsche,Cayenne,2019,47554,1500,3.8,3648363,2025-06-11
Lexus,NX,2022,15093,2000,4.9,6957703,2025-07-28
Lexus,GX 460,2022,21272,2000,5.2,4868782,2024-06-25
Mitsubishi,Lancer Evolution,2024,2480,2500,5.2,2325340,2025-07-30
Honda,CR-V,2017,98722,2000,3.1,500000,2024-11-04
Lexus,LX 570,2020,55813,4500,3.6,2325968,2025-03-30
Subaru,Outback,2024,3159,2500,5.3,2808699,2024-03-13
Lexus,NX,2024,1000,2000,5.3,8859890,2025-03-09
Porsche,Macan,2023,9692,2500,5.5,9598222,2025-05-23
Honda,CR-V,2015,82558,1500,3.7,500000,2024-04-29
Toyota,Land Cruiser,2021,39811,4500,4.1,2507581,2024-10-19
Nissan,GT-R R35,2019,67844,3500,3.5,3231869,2025-05-12
Nissan,X-Trail,2017,53924,2000,3.6,868279,2023-10-30
Subaru,WRX STI,2016,105844,2000,3.3,666126,2024-03-16
Nissan,GT-R R35,2022,23813,3000,4.8,3134782,2024-04-22
Mazda,RX-7,2023,10244,2000,5.4,2367419,2025-06-23
Honda,Accord,2019,54462,1500,4.5,798515,2024-07-27
Mazda,CX-5,2020,57743,2500,3.9,827344,2024-11-10
Subaru,WRX STI,2022,23229,2000,5.2,1460756,2025-01-07
Mitsubishi,Pajero,2021,33137,2000,4.1,1205332,2024-05-06
Toyota,Prado,2021,41255,2500,3.8,1417014,2024-06-12
Nissan,X-Trail,2021,23571,1500,5.2,1797026,2025-02-19
Nissan,GT-R R35,2023,7555,3500,4.5,5406239,2024-03-29
Honda,Accord,2016,99857,2000,4.0,698553,2024-03-09
Porsche,911 Carrera,2022,27762,3500,4.2,4367973,2025-08-16
Mazda,RX-7,2023,12880,2000,4.3,1866529,2024-05-21
Mazda,CX-9,2019,44163,1500,3.8,825940,2024-06-08
Lexus,LX 600,2019,48371,5700,4.4,4432480,2024-12-23
Porsche,Cayenne,2018,67073,2500,2.7,1132330,2024-10-31
Nissan,X-Trail,2022,24410,2000,5.1,948910,2023-12-28
Mitsubishi,Lancer Evolution,2022,28088,2000,5.4,827012,2024-06-11
Mazda,CX-5,2016,76125,2000,3.9,500000,2024-02-23
Subaru,WRX STI,2019,58508,2500,3.6,1071493,2023-10-19
Mitsubishi,Pajero,2015,125498,1500,3.3,500000,2024-07-10
Honda,Accord,2019,42401,2500,4.5,1027678,2024-05-02
Subaru,WRX STI,2024,1000,2000,5.1,4026259,2024-11-14
Mitsubishi,Pajero,2018,56973,2500,3.2,894332,2025-08-19
Lexus,LX 570,2022,14109,3500,4.3,3893214,2024-11-05
Subaru,WRX STI,2023,7811,2000,5.3,3187235,2025-08-03
Honda,NSX,2016,90255,3800,3.2,540200,2024-10-05
Porsche,Cayenne,2017,99339,3000,3.2,1550607,2025-06-28
Subaru,Outback,2022,16996,2000,5.2,1541183,2025-08-19
Mazda,RX-7,2016,72862,2500,2.7,500000,2023-12-27
Subaru,WRX STI,2023,13212,2000,5.3,3514217,2024-12-14
Nissan,GT-R R35,2018,92089,3500,2.5,984009,2023-12-14
Nissan,Patrol,2021,35290,5700,3.6,1163391,2024-02-10
Mitsubishi,Pajero,2023,18074,2000,4.3,1502032,2025-07-26
Porsche,Macan,2019,61561,2500,3.7,2569458,2025-04-30
Mitsubishi,Pajero,2024,1958,2000,5.2,1552178,2024-09-25
Mazda,CX-9,2023,14773,3000,4.2,940388,2024-07-20
Mazda,CX-5,2018,72001,2500,3.2,639327,2025-06-03
Lexus,LX 570,2016,109053,4500,4.0,1567360,2024-09-23
Subaru,Outback,2024,1000,2500,5.3,1842138,2025-07-21
Porsche,911 Carrera,2017,83702,3000,3.6,2587840,2024-03-05
Honda,Accord,2016,78076,2500,3.7,500000,2023-11-07
Porsche,Cayenne,2022,25812,2000,4.7,4665587,2024-07-10
Porsche,Macan,2021,27776,2500,5.1,6653333,2025-01-09
Subaru,WRX STI,2016,70429,2000,3.2,694847,2024-11-20
Toyota,Prado,2022,24347,2500,4.7,2247318,2024-05-19
Lexus,LX 570,2022,23717,3500,5.0,3578971,2024-02-03
Lexus,LX 570,2017,70502,4500,2.9,1793126,2023-11-11
Lexus,GX 460,2022,17400,2000,4.0,3811369,2025-06-15
Porsche,911 Carrera,2022,30857,3800,4.3,5504754,2025-09-01
Nissan,GT-R R35,2019,64080,3800,2.7,1956968,2024-10-13
Toyota,Land Cruiser,2021,34283,4500,4.5,1873498,2025-05-30
Mazda,CX-5,2020,56898,1500,3.8,1270764,2024-05-23
Mazda,CX-9,2019,69437,3000,2.5,784271,2024-09-18
Lexus,NX,2022,25426,2000,5.3,4004274,2024-02-13
Toyota,Land Cruiser 300,2022,14770,3500,4.0,4476645,2024-12-16
Toyota,Land Cruiser 200,2019,48402,3500,4.2,1247278,2025-05-15
Nissan,X-Trail,2024,1000,2500,5.3,1278269,2025-04-11
Lexus,GX 460,2016,103843,2000,3.4,2061030,2024-02-04
Mitsubishi,Lancer Evolution,2023,11759,2000,4.9,932508,2025-07-15
Subaru,Forester,2016,104768,3000,3.8,500000,2024-02-27
Lexus,LX 600,2021,30001,3500,4.3,4751024,2024-03-26
Porsche,Cayenne,2024,1313,2000,4.9,8035629,2024-09-30
Porsche,911 Carrera,2018,51222,3500,3.2,2431216,2024-08-15
Honda,CR-V,2024,1000,2500,5.0,954616,2024-02-06
Subaru,WRX STI,2018,63301,2000,2.7,557078,2025-09-30
Lexus,LX 600,2024,1000,3500,4.9,5562061,2023-11-22
Honda,Accord,2018,43307,2000,2.8,500000,2024-10-18
Lexus,NX,2016,109665,2000,3.3,1143633,2025-06-27
Mazda,RX-7,2024,1170,2000,4.2,1981484,2024-03-26
Subaru,Outback,2021,36387,2500,4.5,704398,2024-01-21
Lexus,GX 460,2019,53874,2000,4.4,4020583,2025-06-14
Nissan,GT-R R35,2022,32083,3500,4.3,2756996,2025-03-03
Mitsubishi,Lancer Evolution,2022,15201,2000,4.9,1858633,2024-03-09
Toyota,Land Cruiser,2017,77046,3500,2.7,833485,2023-11-11
Mazda,CX-9,2023,7108,1500,5.4,2232269,2025-09-09
Mazda,CX-9,2022,19412,2000,5.0,2291042,2024-12-16
Subaru,Forester,2022,22341,2500,5.4,829605,2024-05-11
Mazda,CX-9,2021,23466,1500,4.4,1206118,2025-05-30
Subaru,Forester,2021,27169,1500,4.5,1577442,2025-08-05
Subaru,WRX STI,2022,24994,2500,5.0,1769380,2025-05-14
Nissan,GT-R R35,2019,58608,3800,4.3,4304155,2023-11-19
Toyota,Land Cruiser 300,2024,1000,3500,4.6,6987432,2024-12-14
Nissan,Patrol,2022,17912,4500,4.6,837548,2025-01-06
Lexus,LX 600,2024,1000,3500,5.0,7809681,2024-01-16
Mazda,CX-9,2019,52449,1500,4.2,990322,2025-03-29
Subaru,WRX STI,2020,59205,2000,4.2,963594,2024-01-26
Toyota,Land Cruiser 200,2021,39254,3500,3.9,1470883,2024-05-24
